CTCF	EP300	GABPA	MAFK	NFE2L2	REST
SAMD11	4	0	2	0	0	0
NOC2L	6	1	5	0	0	0
KLHL17	6	1	5	0	0	0
PLEKHN1	7	1	5	0	0	1
HES4	5	2	5	0	0	1
ISG15	4	2	4	0	0	1
AGRN	5	3	5	0	0	1
RNF223	2	2	1	0	0	0
C1orf159	1	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0
TNFRSF4	0	0	0	0	0	0
SDF4	1	0	1	0	0	0
B3GALT6	1	0	1	0	0	0
UBE2J2	8	0	2	0	0	1
ACAP3	9	0	4	0	1	2
PUSL1	9	0	4	0	1	2
CPSF3L	9	0	3	0	1	2
TAS1R3	9	1	4	0	1	2
DVL1	7	1	4	0	1	2
MXRA8	4	1	5	0	2	1
AURKAIP1	4	1	4	0	1	1
CCNL2	4	1	3	0	1	0
MRPL20	4	1	3	0	1	0
ANKRD65	4	1	3	0	1	0
VWA1	3	0	3	0	1	1
ATAD3B	2	0	1	0	1	1
ATAD3A	2	0	1	0	1	1
TMEM240	3	0	0	1	1	0
SSU72	4	0	1	1	0	0
C1orf233	4	0	2	1	0	1
MIB2	5	0	3	1	0	1
MMP23B	5	0	3	0	0	1
CDK11A	1	2	1	1	2	0
SLC35E2	1	1	1	0	1	1
NADK	2	1	0	0	1	1
GNB1	2	0	0	1	0	0
TMEM52	5	0	1	1	0	1
PRKCZ	4	0	0	1	0	1
SKI	4	0	5	0	0	0
MORN1	5	0	1	0	0	0
RER1	5	0	1	0	0	0
PEX10	5	0	1	0	0	1
PLCH2	2	0	0	0	0	4
PANK4	5	0	0	0	0	3
HES5	5	0	0	0	0	3
TNFRSF14	5	0	0	0	0	3
FAM213B	4	0	0	0	0	2
PRDM16	2	0	0	0	0	0
ARHGEF16	7	0	0	0	0	2
MEGF6	6	0	2	0	0	0
TPRG1L	5	1	2	0	0	0
WRAP73	6	1	2	0	0	0
TP73	6	1	2	0	0	0
LRRC47	2	2	2	0	0	0
CEP104	3	1	0	0	0	0
DFFB	3	1	0	0	0	0
C1orf174	4	1	0	0	0	0
AJAP1	2	0	0	0	0	0
KCNAB2	5	0	1	1	1	0
NPHP4	5	0	1	1	1	0
RPL22	10	1	1	1	0	4
RNF207	10	1	1	1	0	4
ICMT	8	0	1	1	0	2
HES3	7	0	1	1	0	2
GPR153	5	0	0	0	0	2
ACOT7	10	0	1	0	1	1
HES2	7	0	1	0	1	1
ESPN	8	0	1	0	1	1
TNFRSF25	8	1	1	1	0	1
PLEKHG5	7	1	1	1	0	0
NOL9	5	1	1	1	0	1
ZBTB48	5	1	1	1	0	1
KLHL21	7	1	1	1	0	1
PHF13	6	1	1	1	0	1
THAP3	6	1	1	1	0	1
DNAJC11	4	0	0	0	0	0
CAMTA1	0	4	1	2	1	0
VAMP3	2	0	0	0	0	0
UTS2	2	0	0	0	0	0
TNFRSF9	4	2	2	1	0	0
PARK7	3	3	2	2	1	0
ERRFI1	3	5	0	2	2	0
SLC45A1	5	0	0	1	0	0
RERE	4	0	0	1	0	0
ENO1	8	2	1	4	2	0
CA6	8	0	0	0	0	0
SLC2A5	3	1	0	1	0	0
GPR157	4	1	0	3	0	0
H6PD	4	0	0	1	0	1
SPSB1	3	3	0	3	1	0
SLC25A33	4	0	0	3	0	0
TMEM201	5	0	0	1	0	1
PIK3CD	4	0	0	0	0	0
CLSTN1	5	0	0	0	0	0
CTNNBIP1	6	0	1	1	0	0
NMNAT1	3	0	1	1	0	0
LZIC	3	0	1	1	0	0
RBP7	4	0	0	0	0	0
UBE4B	3	0	0	0	0	0
KIF1B	1	0	0	1	0	0
PGD	3	0	0	3	2	0
APITD1	2	0	0	4	3	0
APITD1-CORT	2	0	0	4	3	0
DFFA	5	0	0	1	1	0
PEX14	5	0	0	1	1	0
CASZ1	2	0	0	0	0	0
TARDBP	2	0	1	1	0	1
SRM	2	0	1	1	0	1
EXOSC10	1	0	1	0	0	1
ANGPTL7	0	0	0	0	0	1
MTOR	5	0	2	1	0	0
UBIAD1	6	0	2	1	0	0
FBXO44	5	0	0	0	0	1
FBXO2	5	0	0	0	0	1
FBXO6	6	0	0	0	0	1
MAD2L2	7	0	0	0	0	0
DRAXIN	7	0	0	0	0	0
AGTRAP	4	0	0	0	0	0
C1orf167	3	1	3	0	0	0
CLCN6	2	1	3	0	0	1
MTHFR	2	1	3	0	0	1
KIAA2013	4	1	0	2	0	1
PLOD1	3	1	0	2	0	1
MFN2	3	0	0	1	0	0
MIIP	3	0	0	2	0	0
TNFRSF8	4	0	0	2	0	0
TNFRSF1B	6	3	0	1	0	0
VPS13D	9	0	0	0	0	0
DHRS3	3	3	0	0	0	0
LRRC38	3	0	0	0	0	0
PDPN	1	0	0	1	0	0
PRDM2	3	0	0	0	0	0
KAZN	2	0	0	0	0	0
TMEM51	5	0	0	0	0	0
FHAD1	5	0	0	0	0	1
EFHD2	3	1	1	0	0	0
CELA2A	3	1	1	0	0	0
CELA2B	2	2	0	1	0	0
CASP9	2	2	1	2	0	0
DNAJC16	2	2	1	2	0	0
AGMAT	3	0	0	1	0	1
DDI2	3	0	0	0	0	1
PLEKHM2	1	0	0	0	0	1
FBLIM1	5	5	1	2	1	1
SPEN	4	5	1	3	2	1
ZBTB17	6	3	1	0	0	1
HSPB7	7	2	1	0	0	1
CLCNKB	9	2	1	0	0	0
FAM131C	4	2	1	0	0	0
EPHA2	5	6	4	4	1	0
ARHGEF19	5	5	2	3	1	0
RSG1	4	1	0	1	0	0
FBXO42	3	0	1	4	1	0
SZRD1	3	0	1	4	1	0
NECAP2	2	0	2	0	0	0
CROCC	9	2	1	0	0	1
MFAP2	5	0	0	1	0	0
ATP13A2	4	0	1	1	0	0
SDHB	3	0	1	1	0	0
PADI2	2	1	0	0	0	0
PADI1	2	5	1	1	0	0
PADI3	5	5	0	1	0	1
PADI4	4	2	1	1	1	2
RCC2	6	2	0	0	0	0
ARHGEF10L	7	2	0	0	0	0
ACTL8	3	0	1	1	0	0
PAX7	6	0	0	0	0	1
ALDH4A1	5	0	1	0	0	0
IFFO2	4	0	1	0	0	0
UBR4	2	1	1	1	0	0
EMC1	1	1	1	1	0	0
MRTO4	1	1	1	1	0	0
AKR7A2	3	0	0	0	0	0
PQLC2	3	0	0	0	0	0
CAPZB	4	0	1	0	0	0
MINOS1	3	0	2	0	0	0
MINOS1-NBL1	3	0	2	0	0	0
NBL1	8	0	2	0	0	1
TMCO4	4	0	0	2	0	1
OTUD3	3	2	0	1	0	1
PLA2G2D	4	0	0	0	0	0
PLA2G2F	3	0	0	0	0	0
UBXN10	7	0	0	0	0	0
CAMK2N1	4	0	1	0	0	2
MUL1	4	0	1	0	0	1
FAM43B	4	0	1	1	0	1
CDA	4	0	0	2	0	0
PINK1	4	0	1	2	0	0
DDOST	6	0	2	1	0	0
SH2D5	5	0	1	1	0	0
HP1BP3	0	0	0	0	0	0
EIF4G3	3	0	0	1	0	0
ECE1	6	3	0	2	0	1
NBPF3	2	0	0	0	0	0
ALPL	6	0	0	0	0	1
RAP1GAP	4	2	2	0	1	3
USP48	1	2	1	2	0	0
HSPG2	3	1	0	1	0	0
CDC42	5	0	2	0	0	0
WNT4	3	0	0	0	0	1
ZBTB40	3	0	0	0	0	0
EPHA8	0	0	0	0	0	2
C1QA	5	0	0	0	0	3
C1QC	5	0	0	0	0	3
C1QB	5	0	0	0	0	3
EPHB2	5	0	1	0	0	0
KDM1A	4	1	0	0	0	0
LUZP1	3	2	0	2	1	0
HTR1D	3	3	0	2	1	0
HNRNPR	1	0	2	0	1	0
ZNF436	2	1	3	1	1	0
TCEA3	1	1	1	1	0	1
ASAP3	2	1	0	2	0	0
E2F2	7	5	0	5	3	1
ID3	6	7	0	5	4	1
MDS2	6	4	0	1	1	1
RPL11	4	1	1	0	0	2
TCEB3	5	0	4	1	1	0
PITHD1	8	2	5	1	1	0
LYPLA2	8	2	5	1	1	0
GALE	7	2	3	1	1	0
HMGCL	6	2	3	1	1	1
FUCA1	3	0	0	0	0	1
CNR2	4	0	1	0	0	1
PNRC2	3	1	1	0	1	1
SRSF10	3	2	1	0	1	1
MYOM3	9	0	0	0	0	1
IFNLR1	7	0	0	0	0	1
GRHL3	3	3	1	4	2	1
NIPAL3	7	0	0	1	0	0
STPG1	7	0	0	1	0	0
RCAN3	2	0	0	0	0	0
NCMAP	4	0	0	0	0	1
SRRM1	3	0	0	1	0	1
CLIC4	1	1	1	1	1	0
RUNX3	0	0	0	0	0	1
SYF2	3	2	4	2	0	0
RHD	1	2	4	2	0	0
TMEM50A	1	0	1	0	0	0
RHCE	0	0	0	0	0	0
TMEM57	0	0	0	0	0	0
LDLRAP1	7	1	0	0	0	1
SEPN1	5	0	1	0	0	1
MTFR1L	5	0	1	0	0	1
AUNIP	5	0	2	0	0	1
STMN1	2	0	1	0	0	0
PAFAH2	3	1	0	1	0	0
TRIM63	4	0	0	0	1	0
PDIK1L	3	0	0	0	1	0
FAM110D	3	0	1	1	0	0
ZNF593	3	0	1	1	0	0
CNKSR1	3	0	1	1	0	0
CEP85	6	0	0	1	1	0
SH3BGRL3	8	1	0	1	1	0
CD52	9	1	0	1	0	0
UBXN11	9	1	0	1	0	0
ZNF683	6	0	0	1	0	3
LIN28A	5	1	1	1	1	3
DHDDS	4	1	1	1	1	4
HMGN2	2	1	1	1	1	1
RPS6KA1	5	0	0	1	0	1
ARID1A	1	3	0	1	0	1
PIGV	5	0	1	1	0	0
ZDHHC18	9	2	2	3	1	1
SFN	9	2	2	2	1	1
GPN2	7	2	3	2	1	1
GPATCH3	7	2	3	2	0	1
NUDC	3	0	2	0	0	0
TRNP1	3	1	0	0	0	0
FAM46B	5	1	0	0	0	0
SLC9A1	6	2	0	0	1	1
WDTC1	1	0	0	0	0	0
TMEM222	8	0	1	0	0	0
SYTL1	9	0	1	0	0	0
MAP3K6	11	0	1	0	0	0
FCN3	11	0	0	0	0	0
CD164L2	10	0	0	0	0	0
GPR3	10	0	0	0	0	0
WASF2	2	1	0	1	0	1
AHDC1	6	0	1	0	0	0
FGR	8	1	1	0	0	0
IFI6	7	1	0	0	0	0
FAM76A	3	0	1	0	1	1
STX12	1	0	1	0	1	1
PPP1R8	1	1	0	0	0	0
THEMIS2	1	1	1	0	0	0
RPA2	2	0	1	0	0	0
SMPDL3B	3	0	1	0	0	0
EYA3	3	0	1	0	0	0
PTAFR	1	2	0	0	0	0
DNAJC8	2	3	0	1	0	0
ATPIF1	2	3	0	1	0	0
SESN2	1	3	0	1	0	0
MED18	3	1	3	1	0	1
PHACTR4	3	3	3	1	0	1
RCC1	2	1	1	0	1	1
TRNAU1AP	4	3	1	0	1	2
TAF12	4	2	2	0	0	1
GMEB1	3	2	2	0	0	1
YTHDF2	2	0	1	0	1	0
EPB41	5	2	0	2	1	0
TMEM200B	3	0	0	0	0	0
SRSF4	5	0	1	1	0	0
MECR	7	1	1	1	0	0
PTPRU	6	1	0	1	0	0
LAPTM5	10	0	1	0	1	1
SDC3	2	0	0	1	0	1
PUM1	0	1	0	1	0	0
SNRNP40	1	0	0	0	0	2
ZCCHC17	1	0	0	0	0	2
FABP3	5	1	1	0	0	1
SERINC2	4	1	2	0	0	1
TINAGL1	5	1	0	2	0	0
PEF1	6	2	1	1	0	1
COL16A1	6	3	0	1	0	2
PTP4A2	5	8	1	5	2	2
KHDRBS1	5	1	1	1	0	2
TMEM39B	3	0	1	3	0	1
KPNA6	4	0	1	3	1	0
TXLNA	3	0	2	0	1	0
CCDC28B	4	0	2	0	0	0
IQCC	4	0	2	0	0	0
EIF3I	4	0	2	0	0	0
TMEM234	4	0	2	0	0	0
