CTCF	EP300	GABPA	MAFK	NFE2L2	REST
SAMD11	0	0	0	0	0	0
NOC2L	1	0	1	0	0	0
KLHL17	1	0	1	0	0	0
PLEKHN1	1	0	1	0	0	0
HES4	1	1	3	0	0	0
ISG15	1	0	3	0	0	1
AGRN	1	1	1	0	0	1
RNF223	0	1	1	0	0	0
C1orf159	1	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0
TNFRSF4	0	0	0	0	0	0
SDF4	0	0	0	0	0	0
B3GALT6	0	0	0	0	0	0
UBE2J2	1	0	1	0	0	0
ACAP3	5	0	1	0	0	1
PUSL1	5	0	1	0	0	1
CPSF3L	0	0	1	0	1	0
TAS1R3	0	0	1	0	1	1
DVL1	1	0	1	0	0	0
MXRA8	1	0	0	0	0	0
AURKAIP1	1	1	1	0	0	0
CCNL2	2	0	2	0	1	0
MRPL20	2	0	2	0	1	0
ANKRD65	0	0	0	0	0	0
VWA1	1	0	0	0	0	0
ATAD3B	0	0	1	0	0	1
ATAD3A	1	0	0	0	1	0
TMEM240	0	0	0	0	0	0
SSU72	1	0	0	1	0	0
C1orf233	1	0	0	0	0	0
MIB2	1	0	1	0	0	0
MMP23B	0	0	1	0	0	1
CDK11A	0	0	1	0	0	0
SLC35E2	0	0	0	0	0	0
NADK	1	0	0	0	0	1
GNB1	0	0	0	0	0	0
TMEM52	0	0	0	1	0	0
PRKCZ	3	0	0	0	0	0
SKI	1	0	1	0	0	0
MORN1	2	0	1	0	0	0
RER1	2	0	1	0	0	0
PEX10	2	0	0	0	0	0
PLCH2	0	0	0	0	0	2
PANK4	0	0	0	0	0	0
HES5	1	0	0	0	0	0
TNFRSF14	3	0	0	0	0	1
FAM213B	0	0	0	0	0	1
PRDM16	1	0	0	0	0	0
ARHGEF16	1	0	0	0	0	0
MEGF6	4	0	0	0	0	0
TPRG1L	4	0	1	0	0	0
WRAP73	1	0	1	0	0	0
TP73	1	0	1	0	0	0
LRRC47	0	2	1	0	0	0
CEP104	2	0	0	0	0	0
DFFB	2	0	0	0	0	0
C1orf174	1	1	0	0	0	0
AJAP1	1	0	0	0	0	0
KCNAB2	0	0	0	1	1	0
